month,revenue,gross_profit,margin_pct
2024-01,333812.9,105213.23,0.3151862315686422
2024-02,254030.24,82722.34,0.32563973485991277
2024-03,294251.64,97597.79,0.33168137992365987
2024-04,326354.25,108726.13,0.3331537125684743
2024-05,321346.38,106686.6,0.33199876096317005
2024-06,311208.74,104129.27,0.3345962263142096
2024-07,369711.08,120460.69,0.32582385683436915
2024-08,329933.75,106710.45999999999,0.32342996131799184
2024-09,344372.99,111542.54000000001,0.3239003732551731
2024-10,331894.35,106399.25,0.32058168510551627
2024-11,363349.98,116183.62,0.3197567810517012
2024-12,395424.25,131356.41,0.33219108337437575
2025-01,325186.55,108534.97,0.3337621743580723
2025-02,285662.61,91743.45999999999,0.3211601966389651
2025-03,329478.44,114389.86,0.34718465948788635
2025-04,370420.48,125182.51,0.3379470541153664
2025-05,284815.01,94053.23,0.33022567876601727
2025-06,327165.28,105489.05,0.3224335112821263
2025-07,346123.91,114752.31999999999,0.33153537413812295
2025-08,348342.37,117029.81999999999,0.3359620593957605
2025-09,327376.99,109063.77,0.33314427504510935
2025-10,283520.19,93553.09,0.32996976335265576
2025-11,355339.2,112838.41,0.31755125806553286
2025-12,362709.34,119947.47,0.33069859739481755
