order_id,customer_id,store_id,employee_id,order_date,channel,promotion_id,order_status
1,460,10,46,2024-04-12,Store,2.0,Completed
2,214,9,2,2024-10-31,Mobile,10.0,Completed
3,871,4,6,2024-03-06,Mobile,,Cancelled
4,1079,8,5,2025-09-01,Online,6.0,Completed
5,85,5,42,2025-04-17,Mobile,4.0,Completed
6,7,7,18,2025-12-15,Store,1.0,Completed
7,237,8,29,2025-10-25,Store,1.0,Cancelled
8,71,2,77,2025-05-04,Online,4.0,Completed
9,1138,4,89,2024-12-08,Mobile,1.0,Completed
10,863,10,78,2024-05-12,Store,18.0,Completed
11,1064,6,1,2025-02-04,Store,6.0,Completed
12,359,10,66,2025-01-10,Store,16.0,Completed
13,482,11,56,2025-04-04,Store,13.0,Completed
14,141,12,79,2025-03-31,Online,13.0,Cancelled
15,250,10,46,2025-03-26,Store,16.0,Completed
16,678,12,79,2024-03-07,Store,17.0,Completed
17,359,11,7,2024-12-16,Online,12.0,Completed
18,565,8,75,2024-06-08,Store,12.0,Completed
19,872,11,7,2024-06-29,Mobile,14.0,Completed
20,1051,9,2,2024-07-30,Store,18.0,Completed
21,574,6,17,2025-12-14,Online,16.0,Completed
22,626,5,62,2024-04-30,Store,9.0,Cancelled
23,178,4,57,2024-02-14,Store,10.0,Completed
24,754,9,33,2025-05-02,Store,11.0,Cancelled
25,624,5,81,2025-12-06,Mobile,14.0,Completed
26,370,3,50,2025-01-29,Store,8.0,Cancelled
27,936,12,59,2024-04-06,Online,15.0,Cancelled
28,650,1,13,2024-10-07,Online,9.0,Completed
29,208,12,4,2024-02-26,Store,14.0,Completed
30,882,1,85,2025-06-25,Store,15.0,Completed
31,106,4,6,2024-08-30,Online,2.0,Completed
32,746,7,51,2024-05-09,Online,12.0,Completed
33,157,2,27,2025-02-13,Store,6.0,Completed
34,632,9,68,2025-07-06,Store,4.0,Completed
35,708,12,4,2025-07-09,Store,4.0,Completed
36,587,1,9,2025-06-24,Store,15.0,Completed
37,360,4,6,2025-01-13,Online,17.0,Completed
38,292,3,50,2024-01-24,Online,,Completed
39,1093,5,81,2025-07-28,Online,,Cancelled
40,1084,11,63,2024-04-07,Online,8.0,Completed
41,838,10,90,2025-08-10,Online,4.0,Completed
42,900,6,1,2025-02-22,Store,16.0,Completed
43,56,10,71,2025-01-08,Store,,Completed
44,472,4,24,2025-03-25,Online,1.0,Completed
45,928,9,68,2025-05-20,Store,5.0,Completed
46,867,8,34,2025-04-19,Store,1.0,Cancelled
47,467,6,41,2024-12-05,Store,7.0,Completed
48,1078,11,52,2024-07-26,Online,9.0,Completed
49,1026,1,73,2025-11-13,Store,17.0,Completed
50,730,1,65,2025-10-12,Online,12.0,Completed
51,9,9,28,2024-04-24,Online,13.0,Completed
52,191,9,19,2025-10-06,Online,5.0,Completed
53,1190,3,82,2025-10-11,Mobile,,Completed
54,124,6,17,2025-11-12,Store,13.0,Completed
55,85,6,64,2025-02-01,Online,11.0,Cancelled
56,76,12,61,2025-09-26,Online,17.0,Cancelled
57,956,1,73,2024-11-05,Store,5.0,Completed
58,41,3,50,2024-06-13,Store,6.0,Completed
59,301,1,73,2024-11-12,Online,13.0,Completed
60,279,2,27,2025-05-28,Store,1.0,Completed
61,1176,5,39,2024-04-28,Store,9.0,Completed
62,1176,2,27,2025-03-02,Store,10.0,Completed
63,279,5,25,2025-10-17,Online,2.0,Cancelled
64,801,2,77,2024-12-24,Online,8.0,Completed
65,1160,10,78,2024-03-23,Store,9.0,Completed
66,1165,7,31,2024-08-24,Store,13.0,Completed
67,550,12,58,2025-03-23,Online,6.0,Completed
68,1026,1,85,2025-04-26,Store,7.0,Completed
69,145,3,70,2025-03-30,Mobile,13.0,Cancelled
70,577,3,15,2024-11-23,Store,11.0,Completed
71,483,6,17,2024-02-06,Online,2.0,Cancelled
72,993,5,47,2025-05-13,Online,15.0,Completed
73,241,2,48,2025-05-19,Online,13.0,Completed
74,984,5,42,2024-01-07,Store,6.0,Completed
75,963,1,22,2024-08-02,Online,15.0,Completed
76,320,5,67,2024-04-26,Store,14.0,Completed
77,25,10,78,2024-04-07,Store,,Completed
78,177,11,56,2025-02-01,Mobile,14.0,Completed
79,257,9,2,2024-04-10,Store,12.0,Completed
80,820,2,72,2024-02-23,Store,17.0,Cancelled
81,969,4,83,2025-05-15,Store,4.0,Completed
82,22,1,22,2024-06-28,Store,6.0,Completed
83,1152,10,46,2024-01-07,Store,4.0,Cancelled
84,776,9,37,2024-12-31,Store,,Cancelled
85,1183,7,55,2025-10-15,Store,,Cancelled
86,1021,8,84,2025-10-06,Store,1.0,Completed
87,491,6,64,2024-09-16,Store,7.0,Completed
88,615,6,1,2025-03-28,Store,7.0,Completed
89,620,11,63,2025-08-09,Online,13.0,Cancelled
90,725,4,6,2025-09-30,Store,15.0,Completed
91,209,11,63,2025-05-27,Store,10.0,Completed
92,295,3,88,2025-08-17,Online,,Completed
93,1180,6,54,2024-12-05,Mobile,12.0,Completed
94,1008,2,72,2025-12-21,Mobile,15.0,Completed
95,324,5,62,2025-01-07,Online,,Completed
96,426,9,28,2024-07-06,Store,13.0,Completed
97,46,11,52,2025-01-26,Store,14.0,Completed
98,548,5,74,2025-07-09,Online,5.0,Completed
99,1137,2,27,2025-08-08,Online,13.0,Completed
100,47,10,71,2025-12-16,Mobile,6.0,Cancelled
101,438,7,31,2024-11-13,Online,14.0,Completed
102,653,9,33,2025-06-14,Store,9.0,Completed
103,596,8,5,2024-03-01,Store,12.0,Completed
104,796,6,16,2024-03-11,Online,18.0,Completed
105,836,3,15,2025-12-22,Store,18.0,Cancelled
106,670,7,51,2025-06-17,Online,,Cancelled
107,747,3,82,2024-11-03,Mobile,4.0,Completed
108,879,7,18,2024-10-29,Store,2.0,Completed
109,375,8,84,2025-12-18,Online,16.0,Completed
110,1114,8,5,2024-04-03,Online,13.0,Completed
111,819,2,12,2025-01-17,Store,14.0,Completed
112,1044,4,83,2025-04-11,Mobile,11.0,Completed
113,643,7,51,2025-03-11,Online,15.0,Completed
114,153,4,57,2025-10-25,Store,8.0,Completed
115,417,7,51,2025-06-08,Store,,Completed
116,1018,6,41,2025-06-10,Store,10.0,Cancelled
117,1188,6,32,2024-10-18,Mobile,10.0,Cancelled
118,69,3,49,2024-06-15,Mobile,14.0,Completed
119,1002,1,21,2025-05-02,Store,1.0,Completed
120,88,12,58,2024-06-26,Store,13.0,Cancelled
121,90,7,18,2025-05-27,Online,15.0,Cancelled
122,1088,1,35,2025-05-12,Online,16.0,Completed
123,262,2,12,2025-08-27,Store,2.0,Completed
124,907,11,7,2024-04-05,Online,9.0,Completed
125,1105,12,11,2025-09-07,Store,12.0,Completed
126,803,1,35,2025-02-12,Store,13.0,Completed
127,421,6,64,2024-04-02,Online,,Completed
128,1127,12,61,2025-09-22,Store,17.0,Cancelled
129,854,1,30,2025-04-23,Online,14.0,Cancelled
130,769,5,81,2024-03-17,Online,2.0,Completed
131,331,4,36,2024-09-27,Store,1.0,Completed
132,1047,2,40,2025-05-21,Mobile,5.0,Cancelled
133,738,5,38,2024-12-26,Online,5.0,Completed
134,150,9,2,2024-09-22,Mobile,6.0,Completed
135,551,5,81,2024-01-09,Mobile,18.0,Completed
136,524,4,45,2025-07-06,Online,12.0,Completed
137,1015,3,50,2024-12-13,Online,,Cancelled
138,611,10,71,2025-02-25,Mobile,6.0,Cancelled
139,512,9,68,2025-11-25,Online,8.0,Cancelled
140,501,12,61,2024-12-14,Store,8.0,Completed
141,1111,10,66,2025-09-23,Online,14.0,Cancelled
142,756,12,4,2024-12-30,Online,,Completed
143,231,9,20,2024-01-29,Mobile,2.0,Completed
144,622,8,75,2024-09-12,Store,,Cancelled
145,88,10,78,2025-05-19,Online,18.0,Cancelled
146,96,10,66,2025-03-10,Online,2.0,Completed
147,1009,12,79,2025-07-18,Online,6.0,Completed
148,878,2,72,2024-09-22,Store,7.0,Completed
149,1097,12,11,2024-11-20,Store,18.0,Completed
150,849,7,55,2025-05-29,Online,3.0,Completed
151,976,8,34,2025-12-31,Online,11.0,Completed
152,602,5,39,2025-12-14,Store,,Completed
153,1130,12,11,2024-08-05,Store,3.0,Completed
154,327,11,63,2024-03-29,Store,7.0,Completed
155,87,1,65,2025-07-17,Online,14.0,Completed
156,520,1,85,2025-10-17,Store,12.0,Completed
157,938,8,26,2024-07-11,Online,11.0,Completed
158,1057,4,86,2024-04-10,Online,10.0,Completed
159,1169,3,82,2024-11-07,Online,15.0,Cancelled
160,612,1,30,2025-10-02,Store,,Completed
161,293,12,59,2025-07-25,Store,10.0,Completed
162,47,2,12,2024-07-10,Store,7.0,Cancelled
163,370,2,44,2025-08-26,Online,,Completed
164,51,10,66,2024-09-19,Online,7.0,Cancelled
165,409,4,83,2024-08-24,Store,4.0,Completed
166,918,1,13,2024-07-12,Online,18.0,Completed
167,1163,6,64,2024-09-16,Store,8.0,Completed
168,500,1,65,2024-11-15,Store,,Completed
169,1155,6,41,2025-05-12,Store,11.0,Cancelled
170,370,7,51,2024-05-18,Online,9.0,Completed
171,1072,8,34,2024-07-16,Mobile,8.0,Completed
172,461,1,76,2025-05-18,Store,18.0,Cancelled
173,560,8,29,2024-06-29,Store,6.0,Completed
174,401,11,56,2024-09-09,Online,,Completed
175,968,1,35,2025-04-03,Store,6.0,Completed
176,103,8,69,2024-05-22,Online,3.0,Completed
177,1188,10,90,2024-12-12,Store,6.0,Completed
178,488,12,59,2025-09-02,Store,2.0,Completed
179,925,12,61,2024-08-23,Store,,Completed
180,129,12,61,2024-11-24,Online,2.0,Completed
181,1065,5,81,2024-03-02,Online,15.0,Completed
182,972,1,85,2024-02-07,Online,17.0,Completed
183,801,1,85,2024-08-15,Online,,Completed
184,804,10,46,2025-04-27,Store,5.0,Cancelled
185,547,7,18,2025-08-08,Online,7.0,Completed
186,1061,3,88,2024-10-10,Online,,Completed
187,932,12,79,2025-01-16,Store,12.0,Completed
188,94,6,1,2024-06-10,Mobile,2.0,Completed
189,1082,2,27,2024-01-27,Store,11.0,Completed
190,311,1,30,2024-10-15,Store,3.0,Completed
191,221,12,43,2024-11-25,Store,7.0,Completed
192,453,2,72,2024-09-26,Store,9.0,Completed
193,636,6,16,2024-01-01,Store,,Completed
194,329,7,51,2024-11-17,Store,13.0,Completed
195,720,7,51,2025-09-11,Online,15.0,Completed
196,1054,6,64,2025-05-16,Online,11.0,Completed
197,400,6,17,2025-05-20,Online,1.0,Completed
198,791,8,5,2025-02-03,Store,5.0,Completed
199,783,8,34,2024-08-12,Online,1.0,Cancelled
200,65,10,78,2024-03-19,Online,16.0,Completed
201,327,7,51,2024-05-14,Online,4.0,Completed
202,650,9,68,2025-12-04,Store,7.0,Completed
203,1021,12,11,2024-05-17,Online,8.0,Completed
204,329,7,18,2025-12-31,Store,,Completed
205,647,9,19,2025-11-02,Mobile,10.0,Completed
206,582,2,40,2025-09-02,Online,1.0,Cancelled
207,413,12,61,2025-10-02,Mobile,,Completed
208,1011,6,16,2024-03-20,Mobile,,Completed
209,1034,1,85,2025-11-17,Online,,Completed
210,115,2,44,2024-06-16,Online,10.0,Completed
211,1107,6,23,2024-12-14,Store,,Cancelled
212,237,12,4,2024-11-27,Online,,Completed
213,65,5,47,2025-06-10,Store,3.0,Completed
214,581,5,3,2024-05-26,Store,14.0,Completed
215,771,9,20,2024-04-29,Online,18.0,Completed
216,878,1,85,2025-03-12,Mobile,15.0,Completed
217,572,7,55,2025-08-31,Online,,Completed
218,794,1,35,2025-02-12,Online,,Completed
219,1098,7,18,2025-10-29,Store,9.0,Completed
220,1126,8,75,2024-04-11,Store,,Completed
221,500,6,64,2024-02-24,Online,14.0,Cancelled
222,660,4,10,2024-11-21,Store,6.0,Completed
223,803,1,21,2024-02-26,Online,6.0,Completed
224,756,7,31,2024-12-12,Online,1.0,Completed
225,873,6,1,2025-08-15,Online,11.0,Completed
226,269,3,87,2025-03-08,Online,2.0,Completed
227,1118,11,63,2024-03-28,Store,,Completed
228,570,6,16,2025-07-04,Online,1.0,Completed
229,620,4,86,2024-03-06,Store,5.0,Completed
230,1178,5,47,2024-09-19,Store,3.0,Completed
231,961,9,28,2025-01-08,Store,2.0,Completed
232,124,6,1,2024-03-16,Mobile,17.0,Completed
233,929,2,48,2025-10-16,Online,13.0,Completed
234,703,3,15,2025-11-17,Online,13.0,Completed
235,82,3,87,2024-04-16,Online,6.0,Cancelled
236,8,6,41,2025-05-17,Mobile,9.0,Completed
237,528,9,28,2024-03-09,Store,1.0,Completed
238,262,11,52,2024-04-25,Store,8.0,Completed
239,1132,7,51,2025-01-11,Store,17.0,Completed
240,751,9,2,2024-06-17,Online,8.0,Completed
241,657,6,41,2025-11-26,Store,,Completed
242,955,7,55,2024-05-16,Store,10.0,Completed
243,960,11,63,2024-10-26,Store,1.0,Completed
244,192,5,60,2024-04-15,Store,5.0,Completed
245,962,3,88,2024-01-26,Online,,Completed
246,361,7,18,2025-04-18,Store,14.0,Completed
247,1113,7,51,2025-12-17,Store,5.0,Completed
248,391,8,75,2024-07-24,Online,,Completed
249,547,9,19,2024-03-02,Online,18.0,Cancelled
250,706,7,55,2024-05-23,Online,7.0,Cancelled
251,861,11,7,2024-11-11,Online,6.0,Cancelled
252,1121,9,2,2025-11-30,Mobile,15.0,Completed
253,1104,8,84,2025-10-23,Mobile,17.0,Completed
254,628,9,37,2024-02-05,Online,8.0,Completed
255,916,6,32,2024-01-15,Store,12.0,Cancelled
256,386,7,55,2024-12-17,Online,9.0,Completed
257,497,4,83,2025-11-03,Online,7.0,Completed
258,826,2,40,2024-10-29,Online,9.0,Cancelled
259,491,3,87,2025-07-20,Online,14.0,Completed
260,447,12,79,2024-11-26,Store,5.0,Cancelled
261,486,1,85,2025-12-17,Store,17.0,Completed
262,876,6,54,2025-07-08,Store,,Completed
263,56,4,57,2025-09-14,Store,,Completed
264,420,10,90,2024-11-23,Online,9.0,Completed
265,1147,8,34,2024-05-08,Store,15.0,Completed
266,367,5,60,2024-09-07,Online,14.0,Cancelled
267,171,12,59,2025-07-26,Store,12.0,Completed
268,89,2,72,2025-02-28,Online,15.0,Completed
269,859,10,78,2024-12-23,Store,,Cancelled
270,650,9,20,2024-08-17,Mobile,11.0,Completed
271,811,6,17,2025-08-16,Online,16.0,Completed
272,241,2,44,2025-06-25,Store,15.0,Completed
273,568,9,19,2025-12-29,Store,11.0,Completed
274,13,1,76,2025-09-08,Online,12.0,Cancelled
275,943,10,78,2025-03-19,Store,6.0,Completed
276,4,9,37,2025-09-05,Online,7.0,Completed
277,375,2,12,2025-12-22,Store,16.0,Completed
278,1142,7,31,2024-07-15,Store,17.0,Completed
279,652,8,26,2025-07-11,Store,8.0,Completed
280,435,10,66,2024-09-30,Store,17.0,Completed
281,875,11,7,2025-01-28,Store,11.0,Completed
282,610,2,77,2025-06-29,Store,13.0,Cancelled
283,68,1,85,2025-03-01,Store,1.0,Completed
284,70,11,52,2024-05-01,Online,10.0,Completed
285,1082,5,25,2025-09-27,Store,3.0,Completed
286,148,3,82,2024-08-10,Online,16.0,Completed
287,1132,9,19,2025-08-22,Store,9.0,Completed
288,354,7,18,2024-09-19,Online,15.0,Cancelled
289,118,1,21,2025-04-27,Store,14.0,Completed
290,91,3,88,2025-06-03,Online,9.0,Cancelled
291,820,4,89,2024-09-25,Store,,Completed
292,986,6,16,2024-02-13,Mobile,14.0,Completed
293,853,10,78,2024-12-28,Store,8.0,Completed
294,1040,4,10,2025-02-01,Store,11.0,Cancelled
295,655,9,19,2025-10-14,Online,12.0,Completed
296,1064,4,45,2025-05-14,Online,1.0,Completed
297,916,5,47,2024-07-08,Online,9.0,Completed
298,891,9,20,2024-05-09,Online,8.0,Completed
